File_ID,author,title,Year,words,nationality,gender,File_Name,synopsis
76,"Barker, Jane",Bosvil and Galesia,1713,,b,f,1719_Bosvil and Galesia.txt,"""""Bosvil and Galesia"""" is a novel by Jane Barker that tells the story of two young lovers, Bosvil and Galesia, who are separated by their families' feud. Bosvil, the son of a wealthy landowner, falls in love with Galesia, the daughter of a poor farmer. Despite their differences in social status, the two are determined to be together. However, their families' animosity towards each other proves to be a major obstacle to their love.As the story unfolds, Bosvil and Galesia must navigate their way through a series of challenges and obstacles, including jealous suitors, family pressure, and societal expectations. Along the way, they encounter a cast of intriguing characters, including a cunning lawyer, a wise old woman, and a group of traveling actors.Despite the many obstacles they face, Bosvil and Galesia remain committed to each other, and their love ultimately triumphs over the feud that has divided their families for generations. """"Bosvil and Galesia"""" is a timeless tale of love, loyalty, and perseverance, set against the backdrop of 17th century England.Now as Pride agitated my Thoughts in regard of Bosvil, so did Revenge a little in regard of Brafort; for I pleas'd my self to think how he would be balk'd, who I thought had been very remiss in his Devoirs towards such a Goddess, as the World's Flatterers had made of me.This scarce antiquarian book is a facsimile reprint of the old original and may contain some imperfections such as library marks and notations. Because we believe this work is culturally important, we have made it available as part of our commitment for protecting, preserving, and promoting the world's literature in affordable, high quality, modern editions, that are true to their original work."
73,"Barker, Jane",Exilius,1715,,b,f,1719_Exilius.txt,
78,"Defoe, Daniel",Robinson Crusoe,1719,,b,m,1719_Robinson_Crusoe.txt,
7,"Defoe, Daniel",Captain Singleton,1720,,b,m,1720_Captain_Singleton.txt,
69,"Defoe, Daniel",Memoirs of a Cavalier,1720,,b,m,1720_Memoirs of a Cavalier.txt,
75,"Defoe, Daniel",Moll Flanders,1722,,b,m,1722_Moll_Flanders.txt,
72,"Barker, Jane",A Patch-Work Screen,1723,,b,f,1723_A_Patch-Work_Screen.txt,
74,"Davys, Mary",The Cousins,1725,,b,f,1725_The_Cousins.txt,
70,"Davys, Mary",The Lady's Tale,1725,,b,f,1725_The_Lady's_Tale.txt,
71,"Davys, Mary",The Reform'd Coquet,1724,,b,f,1725_The_Reform'd_Coquet.txt,
